date,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,142,109,138,61,2.6,88,11
2013-12-03,86,64,86,38,1.6,54,45
2013-12-04,109,82,101,42,2,62,23
2013-12-05,56,39,56,30,1.2,38,52
2013-12-06,169,128,162,48,2.5,78,15
2013-12-07,291,241,285,64,4.2,98,6
2013-12-08,223,173,189,47,2.9,60,41
2013-12-09,26,11,16,10,0.6,22,51
2013-12-10,45,21,45,14,1,29,52
2013-12-11,30,19,30,15,0.7,30,45
2013-12-12,29,16,29,11,0.8,25,56
2013-12-13,66,48,63,29,1.3,45,29
2013-12-14,56,40,48,29,1.2,41,46
2013-12-15,64,46,55,31,1.5,49,31
2013-12-16,134,102,126,59,2.5,70,10
2013-12-17,80,59,41,35,1.4,39,42
2013-12-18,45,29,45,22,0.9,32,43
2013-12-19,63,45,60,30,1.2,50,35
2013-12-20,45,30,45,28,1.1,46,47
2013-12-21,82,61,81,43,1.6,69,30
2013-12-22,179,135,178,67,2.8,95,14
2013-12-23,166,126,166,62,2.9,90,30
2013-12-24,269,219,268,94,4.8,123,10
2013-12-25,219,169,219,65,3.3,94,54
2013-12-26,30,10,20,9,0.4,21,59
2013-12-27,23,16,21,19,0.6,34,40
2013-12-28,31,11,18,11,0.3,21,61
2013-12-29,78,58,87,48,1.7,76,30
2013-12-30,67,43,84,28,1.1,53,59
2013-12-31,99,50,148,23,1.2,49,63
2014-01-01,81,45,111,28,1.5,62,52
2014-01-02,145,111,168,69,3.4,93,14
2014-01-03,74,47,98,29,1.3,52,56
2014-01-04,149,114,147,40,2.8,75,14
2014-01-05,119,91,117,36,2.3,67,44
2014-01-06,182,138,158,46,2.4,68,12
2014-01-07,145,111,125,34,2,60,43
2014-01-08,27,15,25,13,0.5,21,53
2014-01-09,46,27,46,19,0.8,35,53
2014-01-10,85,63,94,53,1.9,71,19
2014-01-11,139,106,128,76,2.8,90,11
2014-01-12,47,27,47,27,0.7,39,59
2014-01-13,109,82,107,67,2.3,78,20
2014-01-14,108,82,108,68,2.4,74,24
2014-01-15,125,95,117,66,2.7,84,18
2014-01-16,402,353,384,109,4.6,123,20
2014-01-17,215,165,194,67,2.4,76,30
2014-01-18,99,74,81,42,1.5,61,36
2014-01-19,151,115,186,71,2.5,72,41
2014-01-20,35,8,35,6,0.3,15,65
2014-01-21,26,18,25,27,0.7,34,50
2014-01-22,150,115,138,75,2.2,93,16
2014-01-23,271,221,263,118,4,125,8
2014-01-24,197,148,168,79,2.8,92,23
2014-01-25,42,24,42,24,1,42,61
2014-01-26,72,53,81,45,1,47,44
2014-01-27,118,89,120,57,1.8,60,56
2014-01-28,62,40,75,28,0.9,38,56
2014-01-29,155,118,141,71,2.3,75,32
2014-01-30,96,72,97,39,1.2,46,68
2014-01-31,190,143,182,63,1.4,48,38
2014-02-01,179,135,146,52,2,57,12
2014-02-02,89,66,97,19,1.2,31,73
2014-02-03,37,5,32,5,0.3,8,73
2014-02-04,40,27,40,19,0.6,21,68
2014-02-05,117,88,102,53,1.6,49,42
2014-02-06,157,120,130,66,2,64,39
2014-02-07,133,102,67,33,1.6,59,30
2014-02-08,90,67,40,23,1.2,36,66
2014-02-09,33,9,16,16,0.5,18,65
2014-02-10,35,24,28,26,0.7,38,55
2014-02-11,129,98,111,58,2.1,77,37
2014-02-12,146,111,116,53,2.2,77,47
2014-02-13,238,188,173,73,2.8,84,24
2014-02-14,315,265,295,73,3.1,95,27
2014-02-15,428,393,449,100,3.8,110,25
2014-02-16,346,296,204,79,3.2,88,60
2014-02-17,138,105,52,67,2.1,72,56
2014-02-18,95,71,84,38,1.1,61,44
2014-02-19,87,64,72,34,1.2,60,64
2014-02-20,214,164,175,45,2.2,79,30
2014-02-21,309,259,284,78,2.7,101,26
2014-02-22,313,263,300,102,3.4,102,18
2014-02-23,261,211,246,130,3.6,92,14
2014-02-24,310,260,327,133,4.7,119,19
2014-02-25,403,354,389,78,5.2,122,13
2014-02-26,366,316,250,81,3.7,106,18
2014-02-27,35,16,24,13,0.5,25,70
2014-02-28,103,78,102,33,1.5,71,47
2014-03-01,54,38,57,23,0.8,48,70
2014-03-02,178,135,165,60,2.6,93,40
2014-03-03,268,218,248,96,4.2,102,18
2014-03-04,77,57,78,27,1.3,40,74
2014-03-05,35,20,35,16,0.8,35,66
2014-03-06,39,16,28,14,0.6,29,77
2014-03-07,66,48,72,26,1.1,53,65
2014-03-08,172,131,166,68,2.3,92,38
2014-03-09,124,94,118,45,1.6,68,72
2014-03-10,107,81,101,53,1.7,72,45
2014-03-11,205,155,196,76,2.4,80,68
